"id","code","name","hs_level","created_at","updated_at"
1364,"071410","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1365,"330125","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1366,"090921","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1367,"630619","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1368,"321590","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1369,"4945","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1370,"441821","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1371,"600539","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1372,"950720","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1373,"550120","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1374,"560749","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1375,"843710","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1376,"282510","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1377,"761691","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1378,"730810","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1379,"845620","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1380,"300692","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1381,"5090","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1382,"340119","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1383,"722519","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1384,"030493","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1385,"721499","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1386,"550130","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1387,"291821","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1388,"381590","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1389,"090619","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1390,"350400","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1391,"852349","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1392,"520942","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1393,"482010","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1394,"540310","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1395,"850162","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1396,"610453","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1397,"290347","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1398,"030614","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1399,"090932","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1400,"521120","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1401,"4779","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1402,"350300","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1403,"5161","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1404,"600690","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1405,"843621","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1406,"080211","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1407,"620140","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1408,"080440","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1409,"5025","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1410,"292159","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1411,"854511","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1412,"740829","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1413,"850161","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1414,"850211","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1415,"283327","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1416,"842619","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1417,"845959","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1418,"400239","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
1419,"550941","H6",6,"2025-03-18 03:30:54.544437","2025-03-18 03:30:54.544437"
